timestamp,Bjelovar-Bilogora,Brod-Posavina,Dubrovnik-Neretva,City of Zagreb,Istria,Karlovac,Koprivnica-Križevci,Krapina-Zagorje,Lika-Senj,Međimurje,Osijek-Baranja,Požega-Slavonia,Primorje-Gorski Kotar,Šibenik-Knin,Sisak-Moslavina,Split-Dalmatia,Varaždin,Virovitica-Podravina,Vukovar-Syrmia,Zadar,Zagreb County
2020-03-17 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21 12:00:00,0,1,14,85,25,12,1,14,1,0,7,0,18,4,3,7,10,0,0,2,2
2020-03-22 12:00:00,0,1,14,121,26,12,1,18,1,0,7,0,21,6,4,7,11,0,0,2,2
2020-03-23 12:00:00,1,1,14,121,26,12,1,18,1,0,7,0,21,6,4,7,11,0,0,2,2
2020-03-24 12:00:00,2,2,19,177,34,16,1,28,1,1,19,0,28,15,5,17,11,0,0,3,3
2020-03-25 12:00:00,2,2,21,202,37,18,1,33,1,2,25,0,34,15,5,23,11,0,1,6,3
2020-03-26 12:00:00,2,2,22,225,40,18,1,36,1,2,31,0,35,15,7,34,14,0,1,6,3
2020-03-27 12:00:00,3,3,23,268,49,18,1,39,1,2,35,0,35,15,13,44,18,0,2,16,0
2020-03-28 12:00:00,5,3,28,286,60,18,2,39,1,2,39,0,38,22,13,61,19,0,3,18,0
2020-03-29 12:00:00,5,3,29,304,65,20,3,49,1,2,42,0,38,23,13,61,19,0,7,18,5
2020-03-30 12:00:00,5,4,30,332,68,20,3,54,1,2,46,0,43,23,14,88,21,0,11,25,5
2020-03-31 12:00:00,5,8,32,362,68,20,4,59,1,2,57,1,46,24,15,96,21,1,13,32,0
2020-04-01 12:00:00,7,11,43,269,71,20,12,65,2,2,63,3,60,27,14,133,26,4,13,36,82
2020-04-02 12:00:00,7,11,43,279,73,20,12,65,2,2,68,3,62,29,15,143,27,4,13,45,88
2020-04-03 12:00:00,8,13,55,298,73,21,16,69,2,2,71,3,63,29,19,154,27,4,16,47,89
2020-04-04 12:00:00,8,14,59,312,73,21,16,76,2,4,77,3,65,29,20,158,27,4,18,48,92
2020-04-05 12:00:00,9,15,62,331,75,21,16,80,2,4,77,3,66,35,20,165,31,4,21,52,93
2020-04-06 12:00:00,9,16,63,346,75,21,16,80,2,5,77,3,67,35,20,181,33,4,24,52,93
2020-04-07 12:00:00,9,17,63,360,76,22,19,83,2,6,79,3,68,42,21,196,33,4,28,56,95
2020-04-08 12:00:00,10,18,63,370,79,23,20,86,2,6,81,3,69,44,22,205,35,4,29,56,101
2020-04-09 12:00:00,11,18,65,382,80,23,21,92,2,6,81,3,70,53,22,246,35,4,31,60,102
2020-04-10 12:00:00,11,18,69,393,81,24,23,94,3,7,82,3,73,58,24,291,35,4,32,63,107
2020-04-11 12:00:00,11,18,71,400,83,26,23,96,3,7,82,3,73,61,27,302,35,4,33,67,109
2020-04-12 12:00:00,11,18,86,408,83,28,24,99,7,7,82,3,75,65,27,323,35,4,34,69,112
2020-04-13 12:00:00,11,18,93,413,84,28,25,100,13,7,91,3,77,67,29,336,35,4,35,69,112
2020-04-14 12:00:00,11,18,95,418,85,28,25,108,13,8,97,3,77,76,29,350,35,4,36,74,114
2020-04-15 12:00:00,12,18,96,421,86,28,28,112,14,8,99,3,78,77,30,365,35,4,36,74,117
2020-04-16 12:00:00,12,20,96,437,88,28,28,115,14,8,102,3,79,78,30,381,35,4,36,76,121
2020-04-17 12:00:00,12,21,96,439,89,28,28,115,19,8,107,3,79,79,30,388,35,4,36,77,121
2020-04-18 12:00:00,12,21,96,446,89,28,28,118,19,8,107,3,79,79,30,392,35,4,36,78,124
2020-04-19 12:00:00,12,21,105,449,90,28,32,120,20,8,107,3,80,79,32,406,36,4,37,78,124
2020-04-20 12:00:00,12,21,105,450,90,28,32,124,20,8,108,3,80,79,32,409,36,4,37,79,124
2020-04-21 12:00:00,12,21,105,454,90,29,33,126,20,8,109,3,82,80,34,418,37,4,37,81,125
2020-04-22 12:00:00,12,22,105,457,90,29,49,127,20,8,111,3,82,80,34,427,40,9,39,81,125
2020-04-23 12:00:00,12,22,105,457,90,29,49,128,20,8,112,3,82,80,34,452,43,9,39,82,125
2020-04-24 12:00:00,12,22,105,459,90,29,60,130,20,8,113,3,82,80,34,454,49,9,39,84,127
2020-04-25 12:00:00,12,22,105,462,90,29,60,132,20,8,113,3,82,81,34,455,49,9,39,84,127
2020-04-26 12:00:00,12,22,105,462,90,30,63,133,20,8,113,3,82,83,34,460,50,9,39,85,127
2020-04-27 12:00:00,12,22,105,463,90,30,65,133,20,8,114,3,82,83,34,464,50,9,39,85,128
2020-04-28 12:00:00,12,22,106,464,90,30,68,133,20,8,115,3,82,83,34,465,50,9,39,85,129
2020-04-29 12:00:00,12,22,108,464,90,30,69,134,20,8,118,3,82,86,34,468,50,9,40,85,130
2020-04-30 12:00:00,12,22,108,466,90,30,69,134,20,8,119,3,82,86,34,479,50,9,40,85,130
2020-05-01 12:00:00,12,22,108,466,90,30,69,134,20,8,119,3,82,86,34,488,50,9,40,85,130
2020-05-02 12:00:00,12,22,108,466,90,30,69,134,20,8,120,3,82,87,34,489,50,9,40,85,130
2020-05-03 12:00:00,12,22,108,468,90,30,69,134,20,8,123,3,82,87,34,490,50,11,40,85,130
2020-05-04 12:00:00,12,22,108,468,90,30,70,134,20,8,126,3,82,87,34,491,50,11,40,85,130
2020-05-05 12:00:00,12,22,108,471,90,30,71,134,20,8,127,3,82,87,34,496,51,11,40,85,130
2020-05-06 12:00:00,12,22,111,473,90,30,72,134,20,8,127,3,82,87,34,497,51,11,40,85,130
2020-05-07 12:00:00,12,22,111,472,90,30,74,134,20,8,127,3,82,87,35,501,51,11,40,85,130
2020-05-08 12:00:00,12,23,114,472,90,30,75,134,20,8,132,3,82,88,35,526,51,11,40,85,130
2020-05-09 12:00:00,12,28,114,472,90,30,83,134,20,8,132,3,82,88,35,528,51,11,40,85,130
2020-05-10 12:00:00,12,29,114,472,90,30,83,134,20,8,132,3,83,88,35,537,51,11,40,85,130
2020-05-11 12:00:00,12,31,114,472,90,30,83,134,20,8,132,3,83,88,35,544,51,11,40,85,130
